"Authority code","Authority name","Date","new births"
"E08000005","Rochdale","01/10/2017",253
"E08000006","Salford","01/10/2017",319
"E08000007","Stockport","01/10/2017",292
"E08000008","Tameside","01/10/2017",257
"E08000009","Trafford","01/10/2017",227
"E08000010","Wigan","01/10/2017",329
"E08000001","Bolton","01/11/2017",320
"E08000002","Bury","01/11/2017",207
"E08000003","Manchester","01/11/2017",606
"E08000004","Oldham","01/11/2017",252
"E08000005","Rochdale","01/11/2017",238
"E08000006","Salford","01/11/2017",295
"E08000007","Stockport","01/11/2017",270
"E08000008","Tameside","01/11/2017",245
"E08000009","Trafford","01/11/2017",243
"E08000010","Wigan","01/11/2017",296
"E08000001","Bolton","01/12/2017",296
"E08000002","Bury","01/12/2017",210
"E08000003","Manchester","01/12/2017",627
"E08000004","Oldham","01/12/2017",298
"E08000005","Rochdale","01/12/2017",241
"E08000006","Salford","01/12/2017",319
"E08000007","Stockport","01/12/2017",268
"E08000008","Tameside","01/12/2017",198
"E08000009","Trafford","01/12/2017",204
"E08000010","Wigan","01/12/2017",298
"E08000001","Bolton","01/01/2018",347
"E08000002","Bury","01/01/2018",175
"E08000003","Manchester","01/01/2018",637
"E08000004","Oldham","01/01/2018",272
"E08000005","Rochdale","01/01/2018",243
"E08000006","Salford","01/01/2018",304
"E08000007","Stockport","01/01/2018",268
"E08000008","Tameside","01/01/2018",231
"E08000009","Trafford","01/01/2018",247
"E08000010","Wigan","01/01/2018",307
"E08000001","Bolton","01/02/2018",245
"E08000002","Bury","01/02/2018",145
"E08000003","Manchester","01/02/2018",536
"E08000004","Oldham","01/02/2018",225
"E08000005","Rochdale","01/02/2018",218
"E08000006","Salford","01/02/2018",240
"E08000007","Stockport","01/02/2018",245
"E08000008","Tameside","01/02/2018",214
"E08000009","Trafford","01/02/2018",190
"E08000010","Wigan","01/02/2018",270
"E08000001","Bolton","01/03/2018",285
"E08000002","Bury","01/03/2018",186
"E08000003","Manchester","01/03/2018",551
"E08000004","Oldham","01/03/2018",259
"E08000005","Rochdale","01/03/2018",226
"E08000006","Salford","01/03/2018",295
"E08000007","Stockport","01/03/2018",271
"E08000008","Tameside","01/03/2018",211
"E08000009","Trafford","01/03/2018",214
"E08000010","Wigan","01/03/2018",281
"E08000001","Bolton","01/04/2018",280
"E08000002","Bury","01/04/2018",181
"E08000003","Manchester","01/04/2018",583
"E08000004","Oldham","01/04/2018",262
"E08000005","Rochdale","01/04/2018",241
"E08000006","Salford","01/04/2018",254
"E08000007","Stockport","01/04/2018",261
"E08000008","Tameside","01/04/2018",206
"E08000009","Trafford","01/04/2018",217
"E08000010","Wigan","01/04/2018",293
"E08000001","Bolton","01/05/2018",294
"E08000002","Bury","01/05/2018",195
"E08000003","Manchester","01/05/2018",652
"E08000004","Oldham","01/05/2018",276
"E08000005","Rochdale","01/05/2018",244
"E08000006","Salford","01/05/2018",285
"E08000007","Stockport","01/05/2018",294
"E08000008","Tameside","01/05/2018",262
"E08000009","Trafford","01/05/2018",216
"E08000010","Wigan","01/05/2018",244
"E08000001","Bolton","01/06/2018",330
"E08000002","Bury","01/06/2018",162
"E08000003","Manchester","01/06/2018",619
"E08000004","Oldham","01/06/2018",240
"E08000005","Rochdale","01/06/2018",201
"E08000006","Salford","01/06/2018",287
"E08000007","Stockport","01/06/2018",304
"E08000008","Tameside","01/06/2018",233
"E08000009","Trafford","01/06/2018",207
"E08000010","Wigan","01/06/2018",266
"E08000001","Bolton","01/07/2018",298
"E08000002","Bury","01/07/2018",204
"E08000003","Manchester","01/07/2018",588
"E08000004","Oldham","01/07/2018",258
"E08000005","Rochdale","01/07/2018",242
"E08000006","Salford","01/07/2018",325
"E08000007","Stockport","01/07/2018",259
"E08000008","Tameside","01/07/2018",244
"E08000009","Trafford","01/07/2018",225
"E08000010","Wigan","01/07/2018",319
"E08000001","Bolton","01/08/2018",308
"E08000002","Bury","01/08/2018",205
"E08000003","Manchester","01/08/2018",634
"E08000004","Oldham","01/08/2018",299
"E08000005","Rochdale","01/08/2018",246
"E08000006","Salford","01/08/2018",328
"E08000007","Stockport","01/08/2018",287
"E08000008","Tameside","01/08/2018",219
"E08000009","Trafford","01/08/2018",223
"E08000010","Wigan","01/08/2018",273
"E08000001","Bolton","01/09/2018",304
"E08000002","Bury","01/09/2018",198
"E08000003","Manchester","01/09/2018",576
"E08000004","Oldham","01/09/2018",261
"E08000005","Rochdale","01/09/2018",267
"E08000006","Salford","01/09/2018",337
"E08000007","Stockport","01/09/2018",299
"E08000008","Tameside","01/09/2018",273
"E08000009","Trafford","01/09/2018",214
"E08000010","Wigan","01/09/2018",296
"E08000001","Bolton","01/10/2018",290
"E08000002","Bury","01/10/2018",208
"E08000003","Manchester","01/10/2018",625
"E08000004","Oldham","01/10/2018",282
"E08000005","Rochdale","01/10/2018",222
"E08000006","Salford","01/10/2018",306
"E08000007","Stockport","01/10/2018",284
"E08000008","Tameside","01/10/2018",233
"E08000009","Trafford","01/10/2018",250
"E08000010","Wigan","01/10/2018",300
"E08000001","Bolton","01/11/2018",334
"E08000002","Bury","01/11/2018",184
"E08000003","Manchester","01/11/2018",615
"E08000004","Oldham","01/11/2018",272
"E08000005","Rochdale","01/11/2018",242
"E08000006","Salford","01/11/2018",281
"E08000007","Stockport","01/11/2018",263
"E08000008","Tameside","01/11/2018",220
"E08000009","Trafford","01/11/2018",235
"E08000010","Wigan","01/11/2018",295
"E08000001","Bolton","01/12/2018",291
"E08000002","Bury","01/12/2018",177
"E08000003","Manchester","01/12/2018",621
"E08000004","Oldham","01/12/2018",281
"E08000005","Rochdale","01/12/2018",240
"E08000006","Salford","01/12/2018",311
"E08000007","Stockport","01/12/2018",267
"E08000008","Tameside","01/12/2018",238
"E08000009","Trafford","01/12/2018",203
"E08000010","Wigan","01/12/2018",270
"E08000001","Bolton","01/01/2019",279
"E08000002","Bury","01/01/2019",201
"E08000003","Manchester","01/01/2019",663
"E08000004","Oldham","01/01/2019",290
"E08000005","Rochdale","01/01/2019",234
"E08000006","Salford","01/01/2019",282
"E08000007","Stockport","01/01/2019",272
"E08000008","Tameside","01/01/2019",234
"E08000009","Trafford","01/01/2019",198
"E08000010","Wigan","01/01/2019",291
"E08000001","Bolton","01/02/2019",280
"E08000002","Bury","01/02/2019",173
"E08000003","Manchester","01/02/2019",495
"E08000004","Oldham","01/02/2019",227
"E08000005","Rochdale","01/02/2019",215
"E08000006","Salford","01/02/2019",274
"E08000007","Stockport","01/02/2019",225
"E08000008","Tameside","01/02/2019",212
"E08000009","Trafford","01/02/2019",191
"E08000010","Wigan","01/02/2019",234
"E08000001","Bolton","01/03/2019",322
"E08000002","Bury","01/03/2019",206
"E08000003","Manchester","01/03/2019",596
"E08000004","Oldham","01/03/2019",250
"E08000005","Rochdale","01/03/2019",252
"E08000006","Salford","01/03/2019",289
"E08000007","Stockport","01/03/2019",229
"E08000008","Tameside","01/03/2019",230
"E08000009","Trafford","01/03/2019",205
"E08000010","Wigan","01/03/2019",261
"E08000001","Bolton","01/04/2019",269
"E08000002","Bury","01/04/2019",175
"E08000003","Manchester","01/04/2019",584
"E08000004","Oldham","01/04/2019",268
"E08000005","Rochdale","01/04/2019",214
"E08000006","Salford","01/04/2019",284
"E08000007","Stockport","01/04/2019",222
"E08000008","Tameside","01/04/2019",237
"E08000009","Trafford","01/04/2019",201
"E08000010","Wigan","01/04/2019",245
"E08000001","Bolton","01/05/2019",319
"E08000002","Bury","01/05/2019",168
"E08000003","Manchester","01/05/2019",621
"E08000004","Oldham","01/05/2019",250
"E08000005","Rochdale","01/05/2019",267
"E08000006","Salford","01/05/2019",292
"E08000007","Stockport","01/05/2019",242
"E08000008","Tameside","01/05/2019",229
"E08000009","Trafford","01/05/2019",223
"E08000010","Wigan","01/05/2019",308
"E08000001","Bolton","01/06/2019",291
"E08000002","Bury","01/06/2019",186
"E08000003","Manchester","01/06/2019",584
"E08000004","Oldham","01/06/2019",267
"E08000005","Rochdale","01/06/2019",227
"E08000006","Salford","01/06/2019",292
"E08000007","Stockport","01/06/2019",270
"E08000008","Tameside","01/06/2019",239
"E08000009","Trafford","01/06/2019",243
"E08000010","Wigan","01/06/2019",308
"E08000001","Bolton","01/07/2019",323
"E08000002","Bury","01/07/2019",196
"E08000003","Manchester","01/07/2019",654
"E08000004","Oldham","01/07/2019",262
"E08000005","Rochdale","01/07/2019",259
"E08000006","Salford","01/07/2019",324
"E08000007","Stockport","01/07/2019",279
"E08000008","Tameside","01/07/2019",238
"E08000009","Trafford","01/07/2019",219
"E08000010","Wigan","01/07/2019",298
"E08000001","Bolton","01/08/2019",284
"E08000002","Bury","01/08/2019",196
"E08000003","Manchester","01/08/2019",648
"E08000004","Oldham","01/08/2019",278
"E08000005","Rochdale","01/08/2019",262
"E08000006","Salford","01/08/2019",313
"E08000007","Stockport","01/08/2019",257
"E08000008","Tameside","01/08/2019",233
"E08000009","Trafford","01/08/2019",185
"E08000010","Wigan","01/08/2019",272
