"Region/Country code","Region/Country name","Local authority code","Local authority","Date","new houses"
"E12000002","North West","E08000004","Oldham","Sep-05",229
"E12000002","North West","E08000005","Rochdale","Sep-05",143
"E12000002","North West","E08000006","Salford","Sep-05",1046
"E12000002","North West","E08000007","Stockport","Sep-05",186
"E12000002","North West","E08000008","Tameside","Sep-05",443
"E12000002","North West","E08000009","Trafford","Sep-05",618
"E12000002","North West","E08000010","Wigan","Sep-05",662
"E12000002","North West","E08000001","Bolton","Dec-05",508
"E12000002","North West","E08000002","Bury","Dec-05",439
"E12000002","North West","E08000003","Manchester","Dec-05",2846
"E12000002","North West","E08000004","Oldham","Dec-05",229
"E12000002","North West","E08000005","Rochdale","Dec-05",186
"E12000002","North West","E08000006","Salford","Dec-05",1018
"E12000002","North West","E08000007","Stockport","Dec-05",278
"E12000002","North West","E08000008","Tameside","Dec-05",558
"E12000002","North West","E08000009","Trafford","Dec-05",633
"E12000002","North West","E08000010","Wigan","Dec-05",629
"E12000002","North West","E08000001","Bolton","Mar-06",498
"E12000002","North West","E08000002","Bury","Mar-06",509
"E12000002","North West","E08000003","Manchester","Mar-06",3229
"E12000002","North West","E08000004","Oldham","Mar-06",270
"E12000002","North West","E08000005","Rochdale","Mar-06",252
"E12000002","North West","E08000006","Salford","Mar-06",1076
"E12000002","North West","E08000007","Stockport","Mar-06",384
"E12000002","North West","E08000008","Tameside","Mar-06",645
"E12000002","North West","E08000009","Trafford","Mar-06",635
"E12000002","North West","E08000010","Wigan","Mar-06",730
"E12000002","North West","E08000001","Bolton","Jun-06",468
"E12000002","North West","E08000002","Bury","Jun-06",550
"E12000002","North West","E08000003","Manchester","Jun-06",3806
"E12000002","North West","E08000004","Oldham","Jun-06",295
"E12000002","North West","E08000005","Rochdale","Jun-06",327
"E12000002","North West","E08000006","Salford","Jun-06",1171
"E12000002","North West","E08000007","Stockport","Jun-06",451
"E12000002","North West","E08000008","Tameside","Jun-06",588
"E12000002","North West","E08000009","Trafford","Jun-06",554
