"TimeID","Reg date","Authority code","Authority name","new births"
574,2018-10-01,"E08000008","Tameside",233
574,2018-10-01,"E08000009","Trafford",250
574,2018-10-01,"E08000010","Wigan",300
575,2018-11-01,"E08000001","Bolton",334
575,2018-11-01,"E08000002","Bury",184
575,2018-11-01,"E08000003","Manchester",615
575,2018-11-01,"E08000004","Oldham",272
575,2018-11-01,"E08000005","Rochdale",242
575,2018-11-01,"E08000006","Salford",281
575,2018-11-01,"E08000007","Stockport",263
575,2018-11-01,"E08000008","Tameside",220
575,2018-11-01,"E08000009","Trafford",235
575,2018-11-01,"E08000010","Wigan",295
576,2018-12-01,"E08000001","Bolton",291
576,2018-12-01,"E08000002","Bury",177
576,2018-12-01,"E08000003","Manchester",621
576,2018-12-01,"E08000004","Oldham",281
576,2018-12-01,"E08000005","Rochdale",240
576,2018-12-01,"E08000006","Salford",311
576,2018-12-01,"E08000007","Stockport",267
576,2018-12-01,"E08000008","Tameside",238
576,2018-12-01,"E08000009","Trafford",203
576,2018-12-01,"E08000010","Wigan",270
577,2019-01-01,"E08000001","Bolton",279
577,2019-01-01,"E08000002","Bury",201
577,2019-01-01,"E08000003","Manchester",663
577,2019-01-01,"E08000004","Oldham",290
577,2019-01-01,"E08000005","Rochdale",234
577,2019-01-01,"E08000006","Salford",282
577,2019-01-01,"E08000007","Stockport",272
577,2019-01-01,"E08000008","Tameside",234
577,2019-01-01,"E08000009","Trafford",198
577,2019-01-01,"E08000010","Wigan",291
578,2019-02-01,"E08000001","Bolton",280
578,2019-02-01,"E08000002","Bury",173
578,2019-02-01,"E08000003","Manchester",495
578,2019-02-01,"E08000004","Oldham",227
578,2019-02-01,"E08000005","Rochdale",215
578,2019-02-01,"E08000006","Salford",274
578,2019-02-01,"E08000007","Stockport",225
578,2019-02-01,"E08000008","Tameside",212
578,2019-02-01,"E08000009","Trafford",191
578,2019-02-01,"E08000010","Wigan",234
579,2019-03-01,"E08000001","Bolton",322
579,2019-03-01,"E08000002","Bury",206
579,2019-03-01,"E08000003","Manchester",596
579,2019-03-01,"E08000004","Oldham",250
579,2019-03-01,"E08000005","Rochdale",252
579,2019-03-01,"E08000006","Salford",289
579,2019-03-01,"E08000007","Stockport",229
579,2019-03-01,"E08000008","Tameside",230
579,2019-03-01,"E08000009","Trafford",205
579,2019-03-01,"E08000010","Wigan",261
580,2019-04-01,"E08000001","Bolton",269
580,2019-04-01,"E08000002","Bury",175
580,2019-04-01,"E08000003","Manchester",584
580,2019-04-01,"E08000004","Oldham",268
580,2019-04-01,"E08000005","Rochdale",214
580,2019-04-01,"E08000006","Salford",284
580,2019-04-01,"E08000007","Stockport",222
580,2019-04-01,"E08000008","Tameside",237
580,2019-04-01,"E08000009","Trafford",201
580,2019-04-01,"E08000010","Wigan",245
581,2019-05-01,"E08000001","Bolton",319
581,2019-05-01,"E08000002","Bury",168
581,2019-05-01,"E08000003","Manchester",621
581,2019-05-01,"E08000004","Oldham",250
581,2019-05-01,"E08000005","Rochdale",267
581,2019-05-01,"E08000006","Salford",292
581,2019-05-01,"E08000007","Stockport",242
581,2019-05-01,"E08000008","Tameside",229
581,2019-05-01,"E08000009","Trafford",223
581,2019-05-01,"E08000010","Wigan",308
582,2019-06-01,"E08000001","Bolton",291
582,2019-06-01,"E08000002","Bury",186
582,2019-06-01,"E08000003","Manchester",584
582,2019-06-01,"E08000004","Oldham",267
582,2019-06-01,"E08000005","Rochdale",227
582,2019-06-01,"E08000006","Salford",292
582,2019-06-01,"E08000007","Stockport",270
582,2019-06-01,"E08000008","Tameside",239
582,2019-06-01,"E08000009","Trafford",243
582,2019-06-01,"E08000010","Wigan",308
583,2019-07-01,"E08000001","Bolton",323
583,2019-07-01,"E08000002","Bury",196
583,2019-07-01,"E08000003","Manchester",654
583,2019-07-01,"E08000004","Oldham",262
583,2019-07-01,"E08000005","Rochdale",259
583,2019-07-01,"E08000006","Salford",324
583,2019-07-01,"E08000007","Stockport",279
583,2019-07-01,"E08000008","Tameside",238
583,2019-07-01,"E08000009","Trafford",219
583,2019-07-01,"E08000010","Wigan",298
584,2019-08-01,"E08000001","Bolton",284
584,2019-08-01,"E08000002","Bury",196
584,2019-08-01,"E08000003","Manchester",648
584,2019-08-01,"E08000004","Oldham",278
584,2019-08-01,"E08000005","Rochdale",262
584,2019-08-01,"E08000006","Salford",313
584,2019-08-01,"E08000007","Stockport",257
584,2019-08-01,"E08000008","Tameside",233
584,2019-08-01,"E08000009","Trafford",185
584,2019-08-01,"E08000010","Wigan",272
