"TimeID","Reg date","Provider URN","Provider type","Provider name","Authority code","Authority name","Registered places"
560,2017-08-30,"EY550816","Childcare - Non-Domestic","The Butterfly Nursery","E08000001","Bolton",35
560,2017-08-29,"EY548885","Home Childcarer","REDACTED","E08000003","Manchester",0
560,2017-08-29,"EY547853","Childminder","REDACTED","E08000010","Wigan",0
560,2017-08-29,"EY549235","Childminder","REDACTED","E08000003","Manchester",6
560,2017-08-25,"EY550187","Childminder","REDACTED","E08000005","Rochdale",6
560,2017-08-24,"EY550831","Home Childcarer","REDACTED","E08000001","Bolton",0
560,2017-08-24,"EY550222","Childcare - Non-Domestic","Building Blocks Day Nursery","E08000003","Manchester",140
560,2017-08-24,"EY550657","Childcare - Non-Domestic","Ace Learning Plus","E08000003","Manchester",0
560,2017-08-23,"EY550837","Childminder","REDACTED","E08000007","Stockport",6
560,2017-08-22,"EY549768","Childminder","REDACTED","E08000002","Bury",6
560,2017-08-22,"EY550262","Childminder","REDACTED","E08000006","Salford",6
560,2017-08-21,"EY548916","Childminder","REDACTED","E08000003","Manchester",6
560,2017-08-21,"EY548504","Childminder","REDACTED","E08000007","Stockport",6
560,2017-08-18,"EY550183","Childcare - Non-Domestic","Mills Hill Playgroup","E08000004","Oldham",24
560,2017-08-17,"EY547302","Childminder","REDACTED","E08000003","Manchester",6
560,2017-08-16,"EY548930","Childminder","REDACTED","E08000003","Manchester",6
560,2017-08-16,"EY550936","Childminder","REDACTED","E08000007","Stockport",6
560,2017-08-16,"EY551123","Childcare - Domestic","REDACTED","E08000006","Salford",24
560,2017-08-15,"EY548346","Childminder","REDACTED","E08000006","Salford",6
560,2017-08-15,"EY548614","Childminder","REDACTED","E08000005","Rochdale",6
560,2017-08-14,"EY548047","Childminder","REDACTED","E08000009","Trafford",6
560,2017-08-14,"EY551240","Childcare - Non-Domestic","Little Diamonds Before & After School Club","E08000009","Trafford",15
560,2017-08-14,"EY549098","Childminder","REDACTED","E08000002","Bury",6
560,2017-08-11,"EY550630","Childcare - Non-Domestic","Old Moat Childcare","E08000003","Manchester",8
560,2017-08-10,"EY549462","Childminder","REDACTED","E08000005","Rochdale",6
560,2017-08-10,"EY549839","Childminder","REDACTED","E08000002","Bury",6
560,2017-08-10,"EY548684","Childminder","REDACTED","E08000003","Manchester",6
560,2017-08-10,"EY548765","Childminder","REDACTED","E08000008","Tameside",6
560,2017-08-10,"EY549741","Home Childcarer","REDACTED","E08000003","Manchester",0
560,2017-08-09,"EY548777","Home Childcarer","REDACTED","E08000009","Trafford",0
560,2017-08-08,"EY550086","Childminder","REDACTED","E08000007","Stockport",4
560,2017-08-08,"EY549869","Childcare - Non-Domestic","Progress Education","E08000004","Oldham",0
560,2017-08-08,"EY549240","Childminder","REDACTED","E08000001","Bolton",6
560,2017-08-07,"EY548481","Childminder","REDACTED","E08000008","Tameside",12
560,2017-08-07,"EY548787","Childcare - Non-Domestic","Earlybirds @ St. Mary's","E08000009","Trafford",28
560,2017-08-04,"EY547598","Childcare - Non-Domestic","The Wraparound Club","E08000001","Bolton",20
560,2017-08-04,"EY549172","Childminder","REDACTED","E08000002","Bury",6
560,2017-08-03,"EY550091","Childminder","REDACTED","E08000006","Salford",6
560,2017-08-03,"EY546117","Childminder","REDACTED","E08000008","Tameside",6
560,2017-08-03,"EY548213","Childminder","REDACTED","E08000006","Salford",4
560,2017-08-03,"EY549926","Childminder","REDACTED","E08000006","Salford",4
560,2017-08-02,"EY546735","Childcare - Non-Domestic","St Michaels Pre School","E08000006","Salford",24
560,2017-08-02,"EY547611","Home Childcarer","REDACTED","E08000008","Tameside",0
560,2017-08-02,"EY549871","Childminder","REDACTED","E08000001","Bolton",6
560,2017-08-01,"EY548731","Home Childcarer","REDACTED","E08000003","Manchester",0
560,2017-08-01,"EY549467","Childminder","REDACTED","E08000007","Stockport",6
559,2017-07-31,"EY549110","Childminder","REDACTED","E08000009","Trafford",6
559,2017-07-31,"EY547662","Childminder","REDACTED","E08000003","Manchester",6
559,2017-07-31,"EY550012","Childminder","REDACTED","E08000002","Bury",6
559,2017-07-30,"EY550607","Childcare - Non-Domestic","Bearswraparound Care @ Pike Fold Primary School","E08000003","Manchester",8
559,2017-07-28,"EY549299","Home Childcarer","REDACTED","E08000006","Salford",0
559,2017-07-27,"EY550473","Childcare - Non-Domestic","Evergreen Out of School Club","E08000006","Salford",30
559,2017-07-27,"EY549827","Childcare - Non-Domestic","The Babysitting Club","E08000007","Stockport",20
559,2017-07-27,"EY547477","Childminder","REDACTED","E08000009","Trafford",5
559,2017-07-26,"EY548123","Childminder","REDACTED","E08000001","Bolton",5
559,2017-07-26,"EY548574","Childminder","REDACTED","E08000007","Stockport",6
559,2017-07-25,"EY546247","Childminder","REDACTED","E08000005","Rochdale",4
559,2017-07-25,"EY547863","Childminder","REDACTED","E08000008","Tameside",6
559,2017-07-21,"EY542991","Childminder","REDACTED","E08000008","Tameside",5
559,2017-07-21,"EY548303","Childminder","REDACTED","E08000004","Oldham",6
559,2017-07-20,"EY548262","Childminder","REDACTED","E08000005","Rochdale",3
559,2017-07-17,"EY547780","Childminder","REDACTED","E08000003","Manchester",5
559,2017-07-17,"EY547926","Childminder","REDACTED","E08000006","Salford",5
559,2017-07-16,"EY548345","Childminder","REDACTED","E08000001","Bolton",4
559,2017-07-14,"EY550104","Home Childcarer","REDACTED","E08000007","Stockport",0
559,2017-07-14,"EY544537","Childcare - Non-Domestic","Little Sprouts Day Nursery Ltd","E08000006","Salford",58
559,2017-07-13,"EY548119","Childcare - Non-Domestic","Big Stars Play Club","E08000004","Oldham",32
559,2017-07-12,"EY549006","Childcare - Non-Domestic","The Ark Nursery Littleborough And Space Out-Of-School Club","E08000005","Rochdale",56
559,2017-07-12,"EY547293","Childcare - Non-Domestic","Kids Adventures Prestwich - Forest School","E08000006","Salford",24
559,2017-07-11,"EY550192","Home Childcarer","REDACTED","E08000002","Bury",0
559,2017-07-11,"EY550437","Childminder","REDACTED","E08000006","Salford",0
559,2017-07-10,"EY546926","Childcare - Non-Domestic","Kingdom Stars After School Club","E08000003","Manchester",0
559,2017-07-05,"EY547531","Childminder","REDACTED","E08000004","Oldham",6
559,2017-07-03,"EY545612","Childcare - Domestic","REDACTED","E08000009","Trafford",104
559,2017-07-03,"EY547221","Childcare - Non-Domestic","Sticky Fingers Daycare","E08000010","Wigan",20
558,2017-06-30,"EY546289","Childminder","REDACTED","E08000007","Stockport",4
558,2017-06-30,"EY547085","Childminder","REDACTED","E08000003","Manchester",6
558,2017-06-30,"EY548221","Childminder","REDACTED","E08000005","Rochdale",6
558,2017-06-30,"EY548714","Childcare - Non-Domestic","Kids Planet Davenport","E08000007","Stockport",60
558,2017-06-29,"EY546962","Home Childcarer","REDACTED","E08000002","Bury",0
558,2017-06-29,"EY548193","Childminder","REDACTED","E08000006","Salford",1
558,2017-06-27,"EY545562","Childminder","REDACTED","E08000001","Bolton",6
558,2017-06-27,"EY546827","Childminder","REDACTED","E08000006","Salford",5
558,2017-06-26,"EY544875","Childminder","REDACTED","E08000007","Stockport",6
558,2017-06-23,"EY547264","Childminder","REDACTED","E08000006","Salford",6
558,2017-06-16,"EY545425","Childminder","REDACTED","E08000008","Tameside",6
558,2017-06-15,"EY547873","Home Childcarer","REDACTED","E08000006","Salford",0
558,2017-06-14,"EY546169","Childcare - Non-Domestic","L And A Holiday Club","E08000004","Oldham",50
558,2017-06-14,"EY544855","Childcare - Non-Domestic","Space Station Day Nursery","E08000008","Tameside",67
558,2017-06-14,"EY543489","Childminder","REDACTED","E08000006","Salford",6
558,2017-06-13,"EY547318","Childminder","REDACTED","E08000003","Manchester",3
558,2017-06-13,"EY547336","Childminder","REDACTED","E08000008","Tameside",4
558,2017-06-09,"EY545827","Childminder","REDACTED","E08000004","Oldham",6
558,2017-06-09,"EY545308","Childcare - Non-Domestic","Keep Fit Kids Day Care & Creche","E08000009","Trafford",102
558,2017-06-08,"EY546703","Childcare - Non-Domestic","Dunham Holiday Club","E08000009","Trafford",0
558,2017-06-08,"EY545255","Childminder","REDACTED","E08000001","Bolton",12
558,2017-06-08,"EY545117","Childcare - Non-Domestic","Banana Moon Day Nursery Davyhulme","E08000009","Trafford",40
558,2017-06-06,"EY547223","Home Childcarer","REDACTED","E08000007","Stockport",0
558,2017-06-05,"EY548364","Childcare - Non-Domestic","Kiddi Day Kare Hattersley","E08000008","Tameside",30
558,2017-06-02,"EY544756","Childminder","REDACTED","E08000008","Tameside",5
558,2017-06-01,"EY547984","Home Childcarer","REDACTED","E08000007","Stockport",0
557,2017-05-31,"EY546086","Childminder","REDACTED","E08000007","Stockport",5
557,2017-05-30,"EY546148","Childminder","REDACTED","E08000009","Trafford",4
557,2017-05-30,"EY548052","Home Childcarer","REDACTED","E08000003","Manchester",0
557,2017-05-26,"EY546457","Childminder","REDACTED","E08000008","Tameside",6
557,2017-05-25,"EY547909","Childcare - Non-Domestic","Jigsaw After School Childcare","E08000003","Manchester",0
557,2017-05-23,"EY548023","Home Childcarer","REDACTED","E08000007","Stockport",0
557,2017-05-23,"EY543074","Home Childcarer","REDACTED","E08000003","Manchester",0
557,2017-05-23,"EY544549","Childminder","REDACTED","E08000005","Rochdale",6
557,2017-05-23,"EY546936","Childcare - Non-Domestic","All Aboard Nursery","E08000007","Stockport",8
557,2017-05-19,"EY545956","Childminder","REDACTED","E08000001","Bolton",6
557,2017-05-18,"EY545646","Childcare - Non-Domestic","Core Assets Naz Centre Holiday Club","E08000006","Salford",0
557,2017-05-18,"EY545613","Childcare - Non-Domestic","Core Assets Springwood Holiday Club","E08000006","Salford",0
